Sr_No.,Date_of_Encashment,Name_of_Political_Party,Account_no.,Prefix,Bond_Number,Denominations,Pay_Branch_Code,Pay_Teller,Bond_number
100,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5853,10000000,691,3627829,OC5853
101,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5857,10000000,691,3627829,OC5857
102,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4349,10000000,691,3627829,OC4349
103,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5803,10000000,691,3627829,OC5803
104,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5849,10000000,691,3627829,OC5849
105,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4299,10000000,691,3627829,OC4299
106,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4329,10000000,691,3627829,OC4329
107,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4315,10000000,691,3627829,OC4315
108,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4339,10000000,691,3627829,OC4339
109,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5835,10000000,691,3627829,OC5835
110,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5807,10000000,691,3627829,OC5807
111,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5811,10000000,691,3627829,OC5811
112,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4309,10000000,691,3627829,OC4309
113,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4341,10000000,691,3627829,OC4341
114,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5815,10000000,691,3627829,OC5815
115,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4345,10000000,691,3627829,OC4345
116,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5851,10000000,691,3627829,OC5851
